Object, R, G, B, HEX
Empty, 102, 98, 60, 66623C
Wood, 137, 79, 53, 894F35
Wood, 139, 79, 52, 8B4F34
Blue, 65, 98, 104, 416268
Wood, 139, 78, 52, 8B4E34
Blue, 59, 100, 113, 3B6471
Red, 200, 41, 40, C82928
Red, 199, 42, 41, C72A29
Green, 107, 106, 51, 6B6A33
Green, 108, 105, 51, 6C6933
Wood, 139, 79, 51, 8B4F33
Green, 107, 107, 51, 6B6B33
Red, 195, 44, 41, C32C29
Wood, 135, 80, 52, 875034
Red, 200, 41, 40, C82928
Blue, 62, 97, 111, 3E616F
Wood, 137, 79, 52, 894F34
Wood, 146, 79, 53, 924F35
Blue, 65, 94, 108, 415E6C
Green, 111, 102, 51, 6F6633
Wood, 134, 82, 51, 865233
Screw, 130, 84, 50, 825432
Green, 103, 109, 50, 676D32
Green, 108, 106, 50, 6C6A32
Wood, 139, 78, 51, 8B4E33
Green, 98, 112, 50, 627032
Screw, 133, 81, 49, 855131
Screw, 135, 83, 47, 87532F
Screw, 119, 89, 53, 775935
Green, 87, 115, 52, 577334
Green, 116, 98, 51, 746233
Wood, 141, 77, 51, 8D4D33
Green, 111, 105, 50, 6F6932
Green, 100, 110, 49, 646E31
Green, 105, 107, 50, 696B32
